Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,080820Z,250,16,,1035
ENOL,080850Z,240,17,,1035
ENOL,080920Z,250,16,,1036
ENOL,080950Z,250,12,,1036
ENOL,081020Z,270,12,,1036
ENOL,081050Z,240,14,,1036
ENOL,081050Z,240,14,,1036
ENOL,081120Z,250,12,,1035
ENOL,081150Z,250,13,,1035
ENOL,081220Z,240,13,,1036
ENOL,081250Z,240,14,,1035
ENOL,081320Z,250,12,,1036
ENOL,081350Z,230,14,,1036
ENOL,081420Z,230,14,,1035
ENOL,081450Z,230,15,,1036
ENOL,081520Z,240,15,,1035
ENOL,081550Z,240,13,,1035
ENOL,081620Z,240,12,,1035
ENOL,081650Z,250,16,,1035
ENOL,081720Z,250,15,,1035
ENOL,081750Z,250,17,,1035
ENOL,081820Z,240,17,,1035
ENOL,081850Z,250,17,,1035
ENOL,081920Z,250,17,,1035
ENOL,081950Z,250,17,,1035
ENOL,082020Z,240,16,,1035
ENOL,082050Z,240,13,,1035
ENOL,082120Z,240,13,,1035
ENOL,082150Z,240,14,,1035
ENOL,082220Z,240,14,,1035
ENOL,082250Z,250,13,,1035
ENOL,082320Z,260,17,,1035
ENOL,082350Z,250,17,,1035
ENOL,090020Z,250,14,,1035
ENOL,090050Z,250,19,,1035
ENOL,090120Z,240,17,,1035
ENOL,090150Z,240,17,,1035
ENOL,090220Z,240,18,,1035
ENOL,090250Z,240,19,,1035
ENOL,090320Z,240,19,,1035
ENOL,090350Z,240,20,,1034
ENOL,090420Z,250,20,,1034
ENOL,090450Z,250,20,,1034
ENOL,090520Z,250,19,,1034
ENOL,090550Z,250,19,,1034
ENOL,090620Z,250,17,,1034
ENOL,090650Z,250,16,,1034
ENOL,090720Z,250,13,,1035
ENOL,090750Z,250,17,,1034
ENOL,090820Z,250,17,,1034
ENOL,090850Z,250,17,,1035
ENOL,090920Z,250,15,,1035
ENOL,090950Z,280,17,,1035
ENOL,091020Z,270,17,,1036
ENOL,091050Z,270,16,,1036
ENOL,091120Z,280,17,,1036
ENOL,091150Z,280,17,,1036
ENOL,091220Z,270,18,,1036
ENOL,091250Z,270,17,,1036
ENOL,091320Z,260,16,,1036
ENOL,091350Z,260,18,,1036
ENOL,091420Z,260,20,,1036
ENOL,091450Z,260,20,,1036
ENOL,091520Z,270,19,,1036
ENOL,091550Z,270,18,,1036
ENOL,091620Z,270,17,,1036
ENOL,091650Z,260,17,,1036
ENOL,091720Z,270,17,,1036
ENOL,091750Z,250,17,,1036
ENOL,091820Z,250,16,,1036
ENOL,091850Z,250,17,,1036
ENOL,091920Z,250,17,,1036
ENOL,091950Z,250,16,,1036
ENOL,092020Z,250,17,,1036
ENOL,092050Z,250,17,,1036
ENOL,092120Z,240,16,,1036
ENOL,092150Z,240,16,,1037
ENOL,092220Z,240,16,,1036
ENOL,092250Z,240,16,,1036
ENOL,092320Z,240,15,,1037
ENOL,092350Z,250,15,,1036
ENOL,100020Z,250,15,,1036
ENOL,100050Z,250,14,,1036
ENOL,100120Z,250,15,,1036
ENOL,100150Z,250,15,,1035
ENOL,100150Z,250,15,,1035
ENOL,100220Z,250,15,,1035
ENOL,100250Z,250,14,,1035
ENOL,100320Z,250,14,,1035
ENOL,100350Z,260,14,,1035
ENOL,100420Z,250,14,,1035
ENOL,100450Z,260,15,,1034
ENOL,100520Z,250,14,,1034
ENOL,100550Z,260,16,,1034
ENOL,100620Z,270,17,,1034
ENOL,100650Z,270,20,,1034
ENOL,100720Z,250,16,,1034
ENOL,100750Z,250,17,,1033
ENOL,100820Z,250,18,,1033
ENOL,100850Z,250,17,,1033
ENOL,100920Z,240,16,,1033
ENOL,100920Z,240,16,,1033
ENOL,100950Z,250,16,,1033
ENOL,101020Z,250,19,,1033
ENOL,101050Z,250,17,,1033
ENOL,101120Z,260,15,,1033
ENOL,101150Z,260,16,,1033
ENOL,101220Z,260,16,,1032
ENOL,101250Z,260,14,,1032
ENOL,101320Z,270,19,,1032
ENOL,101350Z,270,21,,1032
