Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,170020Z,120,15,,1009
ENOL,180020Z,120,11,,1007
ENOL,190020Z,130,14,,1009
ENOL,200020Z,130,16,,1008
ENOL,210020Z,120,15,,0990
ENOL,220020Z,180,5,,1003
ENOL,230020Z,260,32,44,1005
ENOL,240020Z,250,22,32,1014
ENOL,250020Z,120,8,,1013
ENOL,260020Z,110,9,,1015
ENOL,270020Z,150,15,,1001
ENOL,280020Z,240,17,,1004
ENOL,290020Z,230,11,,1016
ENOL,300020Z,290,21,,1006
ENOL,310020Z,240,14,,1009
ENOL,010020Z,230,10,,0992
ENOL,020020Z,310,25,,1019
ENOL,030020Z,150,12,,1005
ENOL,040020Z,110,6,,1025
ENOL,050020Z,260,18,,1022
ENOL,060020Z,190,5,,1024
ENOL,070020Z,230,14,,1027
ENOL,080020Z,110,10,,1028
ENOL,090020Z,210,5,,1030
ENOL,100020Z,130,7,,1028
ENOL,110020Z,120,13,,1020
ENOL,120020Z,290,12,,1031
ENOL,130020Z,200,7,,1020
ENOL,140020Z,290,30,,1015
ENOL,150020Z,260,28,,1007
ENOL,160020Z,230,30,40,0985
ENOL,170020Z,270,18,,0977
ENOL,180020Z,310,29,39,0989
ENOL,190020Z,340,11,,0995
ENOL,200020Z,120,9,,0996
ENOL,210020Z,50,15,,0999
ENOL,220020Z,180,2,,0991
ENOL,230020Z,90,2,,0991
ENOL,240020Z,170,5,,1002
ENOL,250020Z,130,17,,0979
ENOL,260020Z,0,2,,0984
ENOL,270020Z,140,5,,1012
ENOL,280020Z,130,11,,1019
ENOL,290020Z,230,19,,1018
ENOL,300020Z,120,17,,1013
ENOL,010020Z,250,14,,1006
ENOL,020020Z,260,27,38,0993
ENOL,030020Z,330,15,,1013
ENOL,040020Z,130,17,,1021
ENOL,050020Z,120,19,,1015
ENOL,060020Z,130,26,,0996
ENOL,070020Z,130,8,,1004
ENOL,080020Z,120,4,,1017
ENOL,090020Z,120,4,,1039
ENOL,100020Z,240,21,,1034
ENOL,110020Z,280,17,,1031
ENOL,120020Z,320,8,,1031
ENOL,130020Z,230,18,,1021
ENOL,140020Z,230,14,,1000
ENOL,150020Z,240,14,,1000
ENOL,160020Z,270,27,,0980
ENOL,170020Z,280,32,47,0995
ENOL,180020Z,100,8,,1003
ENOL,190020Z,250,31,42,0971
ENOL,200020Z,350,31,41,0986
ENOL,210020Z,120,6,,0994
ENOL,220020Z,100,16,,0972
ENOL,230020Z,310,12,,0992
ENOL,240020Z,140,15,,1006
ENOL,250020Z,140,16,,1001
ENOL,260020Z,230,19,,1010
ENOL,270020Z,240,22,,1026
ENOL,280020Z,130,7,,1019
ENOL,290020Z,220,22,,1000
ENOL,300020Z,310,22,33,0996
ENOL,310020Z,270,31,,1005
